Mints and references;Present day locality;Palm-tree evidence period barycenter;Palm-tree evidence period;Palm groves;Coinages;Date remains;Inflorescence;Leaves;Stems and charcoal;Pollen;Phytoliths;Texts and maps;Pottery;Wood paintings, papyri and scrolls;Jewelry, gold cups and seals;Rock and Wall painting and mosaic;Sculpture (stone, bronze and wood);References;Taxa;Latitude;Longitude;Altitude;a10
Phoinikodasos, Agios Nikitas, Iraklion (Crete);Phoenix naturalized? Scattered young palms in shallow gully, main palm grove, Crete, Greece;2012 AD;2012;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Observación;P theophrasti;34,96583333;25,24833333;10;100
Erimoupolis, Itanos, Lasithiou (Crete);Erimoupoli, Moni Toplou (GR4320006), Phoenix naturalized?, Crete, Greece;2012 AD;2012;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Observación;P theophrasti;35,26388889;26,26527778;0-5;#¡VALOR!
Moni Toplou, Lasithiou (Crete);Phoenix cultivated and naturalized?, Crete, Greece;2012 AD;2012;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Observación;P theophrasti;35,22138889;26,21527778;130;1300
Almiros potamos, Gkazi, Irakleion (Crete);P, Irakleion: Gkazi-Almiros (GR4310001), Phoenix naturalized?, Crete, Greece;2012 AD;2012;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Observación;P theophrasti;35,33777778;25,04750000;15;150
Martsalos Bay, Irakelion (Crete);Phoenix naturalized? In the slopes of the gorge, Crete, Greece;2012 AD;2012;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Observación;P theophrasti;35,93027778;24,77027778;40;400
Stalis beach, Stalida, Irakleion (Crete);Stalida, Saint Nikitas-Tsoutsouras (GR4310005), Phoenix naturalized?, Crete, Greece;2012 AD;2012;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Observación;P theophrasti;35,29250000;25,43722222;0-10;#¡VALOR!
Finiki beach (near Agios Pavlos, Crete);Finiki, near Agios Pavlos, Rethymno, Phoenix naturalized?, Crete, Greece;2012 AD;2012;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Observación;P theophrasti;35,10743333;24,57365278;69;690
Finikas beach (Crete);Phoenix naturalized?, Crete, Greece;2012 AD;2012;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Observación;P theophrasti;35,20000000;24,07250000;2;20
Ormou Plakia, Rethimno (Crete);Valley Phoenix west of ormou Plakia (GR4340012), Phoenix naturalized?, Crete, Greece;2012 AD;2012;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Observación;P theophrasti;35,36494444;24,25983333;3;30
Souda, near Plakias (Crete);Phoenix cultivated and naturalized?, Crete, Greece;2012 AD;2012;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Observación;P theophrasti;35,19250000;24,36777778;3;30
Chryssoskalitisa, Chania (Crete);Chryssoskalitisa (GR4340002), Aspri Limni, Phoenix cultivated and naturalized among low phrygana, Crete, Greece;2012 AD;2012;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Observación;P theophrasti;35,31111111;23,31111111;10;100
Drapano Georgoupolis (Crete);Drapano Georgoupolis (GR4340010), Phoenix naturalized?, Crete, Greece;2012 AD;2012;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Observación;P theophrasti;35,36666667;24,25972222;2;20
Anafi;Anafi island, Greece;2012 AD;2012;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Observación;P dactylifera;36,35081111;25,80273889;37;370
Klisidi Beach;Klisidi, Anafi island, Greece;2012 AD;2012;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Observación;P dactylifera;36,34526667;25,77700278;17;170
Chalki Island;Chalki island, Greece;2012 AD;2012;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Observación;P dactylifera;36,22310556;27,61103056;21;210
Vayonia beach;Vayoina beach, just N Palaia Epidauros, fotos de Phoenix dactylifera pero la llaman P, theophrastii var, epidaurus hay una plantación alineada a lo largo de la playa y unos ejemplares más viejor bordeando los olivares, Crete, Greece;2012 AD;2012;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Observación;P theophrasti;37,64134167;23,15882778;8;80
Vayonia beach;Vayoina beach, just N Palaia Epidauros, fotos de Phoenix dactylifera pero la llaman P, theophrastii var, epidaurus hay una plantación alineada a lo largo de la playa y unos ejemplares más viejor bordeando los olivares, Crete, Greece;2012 AD;2012;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Observación;P canariensis;37,64134167;23,15882778;8;80
Vayonia beach;Vayoina beach, just N Palaia Epidauros, fotos de Phoenix dactylifera pero la llaman P, theophrastii var, epidaurus hay una plantación alineada a lo largo de la playa y unos ejemplares más viejor bordeando los olivares, Crete, Greece;2017 AD;2017;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Observación;P theophrasti;37,64134167;23,15882778;8;80
Vayonia beach;Vayoina beach, just N Palaia Epidauros, fotos de Phoenix dactylifera pero la llaman P, theophrastii var, epidaurus hay una plantación alineada a lo largo de la playa y unos ejemplares más viejor bordeando los olivares, Crete, Greece;2017 AD;2017;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Observación;P canariensis;37,64134167;23,15882778;8;80
Muweilah;Muweilah Area, Sharjah, United Arab Emirates;2003 AD;2003;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Observación;P dactylifera;25,22013056;55,50069722;48;480
Al Ain (Abu Dhabi);Abu Dhabi, United Arab Emirates;2002 AD;2002;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Observación;P dactylifera;24,20750000;55,74472222;2;20
Al-Ain;Al-Ain, United Arab Emirates;2002 AD;2002;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Observación;P dactylifera;24,95000000;55,33333333;3;30
Abu Dhabi;Abu Dhabi, United Arab Emirates;2002 AD;2002;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Observación;P dactylifera;24,44843889;54,56299722;2;20
Keren;Keren, Eritrea;2014 AD;2014;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Observación;P dactylifera;15,77880000;38,45160000;1400;14000
Ainsaba Valley;Ainsaba Valley, Eritrea;2014 AD;2014;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Observación;P dactylifera;15,79455000;38,47083333;1349;13490
Akordat, Gash-Barka;Akordat, Gash-Barka date palms isolated along the wadi ;2015 AD;2015;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Panoramio;P dactylifera;15,55638889;37,88305556;596;5960
Bankoualé;Bankoualé, Djibouti;2014 AD;2014;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Observación;P dactylifera;11,82000000;42,66441667;730;7300
Ambouli;The Somalian date palm production areas are Ambouli (Djibouti), Douda Gobad and Tajoura;2015 AD;2015;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Salah 2015;P dactylifera;11,54361111;43,17166667;6;60
Douda;The Somalian date palm production areas are Ambouli, Douda (Djibouti), Gobad and Tajoura;2015 AD;2015;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Salah 2015;P dactylifera;11,53333333;43,16666667;10;100
Asaita, Afambo;Asaita, Afambo, in Afar date palm farms;2015 AD;2015;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Salah 2015;P dactylifera;11,56555556;41,43250000;359;3590
Awash delta;Awash delta, in Afar date palm farms;2015 AD;2015;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Salah 2015;P dactylifera;11,70972222;41,16638889;373;3730
Amhara, Lago Tana;Amhara, Lago Tana, Ethiopia;2014 AD;2014;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Observación;P dactylifera;11,90000000;37,06777778;1840;18400
Dire Dawa;Dire Dawa, Ethiopia, escasas junto a las mezquitas;2014 AD;2014;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Observación;P dactylifera;21,61000000;41,87441667;1173;11730
Mekele;Mekele, Tigray, Ethiopia, en las calles;2014 AD;2014;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Observación;P dactylifera;21,61000000;39,47160556;2100;21000
Ereri Jelleho;Migiurtini coast, between Ereri Jelleho and Martisor Dinsai 31 May 1924 Puccioni and Stefanini 659 FT;1924 AD;1924;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Barrow 1998;P caespitosa;9,07000000;50,49111111;486;4860
Hamug;Hamur to Gombeia 36 June 1924 Puccioni and Stefanini 926 and 927 FT (Nogal bassin);1924 AD;1924;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Barrow 1998;P caespitosa;11,02333333;49,14833333;252;2520
Iskushuban;Iskushuban, c, 280 m, 7 July 1980 Gillet 23055 K;1980 AD;1980;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Barrow 1998;P caespitosa;10,28361111;50,23333333;277;2770
Halin Tug;Halin Tug, 26 Oct 1944 Glover and Gilliland 236 K;1944 AD;1944;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Barrow 1998;P caespitosa;9,08665556;48,62016944;627;6270
Karin;31 Km N of Carin, c, 17 km S of Bosaso 8 January 1973 Bally and Melville 15690 K;1973 AD;1973;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Barrow 1998;P caespitosa;10,98505278;49,21932222;320;3200
Between Bosaso and Karin;between Bosaso and Karin, 12 12 January 1995 Thulin et al, 9016 K, UPS;1995 AD;1995;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Barrow 1998;P caespitosa;11,09250000;49,18250000;198;1980
Halin Tug;Halin, Sool, Somalia, Palm oasis, with scattered palms along wadi to the N of the settlement;2006 AD;2006;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Observación;P dactylifera;9,08665556;48,62016944;627;6270
Iskushuban;date plams are present in Iskushuban, Bari, Somalia;2015 AD;2015;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Flicker;P dactylifera;10,28361111;50,23333333;277;2770
Ceerigaabo, Sanaag;Ceerigaabo oasis with date palms;2015 AD;2015;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Panoramio;P dactylifera;10,61666667;47,36916667;1784;17840
Hamug;Hamug, oasis with date palms;2015 AD;2015;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Panoramio;P dactylifera;11,02333333;49,14833333;252;2520
Bosaaso, Puntland;Bosaaso, city with isolated date palms;2015 AD;2015;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Panoramio;P dactylifera;11,28527778;49,18027778;9;90
Biyo Kulule / Biya Kulule, Puntland;Biyo Kulule, oasis with date palms;2015 AD;2015;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Panoramio;P dactylifera;11,24972222;49,26750000;66;660
Xiis / Hees, Sanaag;Xiis/Hees, oasis with date palms;2015 AD;2015;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Panoramio;P dactylifera;10,89500000;46,92083333;10;100
Laag, Wadi Dhaaca;Laag, oasis with date palms, Bari region, date palms and Livingstona;2015 AD;2015;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Panoramio;P dactylifera;11,03194444;49,19083333;226;2260
Galgala;Galgala, Somalia, Palm oasis;2014 AD;2014;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Observación;P dactylifera;10,98940000;49,05725278;832;8320
Berbera wells / Dubar spring;Berbera wells, Somalia, Dubar spring with an Ottoman date palm plantation;2014 AD;2014;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Observación;P dactylifera;10,34168611;45,05211944;181;1810
Karin;Karin, Somalia, Palm oasis Livistona + Phoenix;2014 AD;2014;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Observación;P dactylifera;10,98505278;49,21932222;320;3200
Aussenkehr;Aussenkehr, plantations of date palm, 10 hectares, Namibia;2014 AD;2014;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Observación;P dactylifera;-28,36111111;17,41027778;125;1250
Hardap;Hardap, plantations of date palm, Namibia;2014 AD;2014;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Observación;P dactylifera;-24,53472222;15,92777778;1114;11140
Eersbegin farm;Eersbegin farm, plantations of medjool date palm, Namibia initiated in 1993;2014 AD;2014;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Angala 2015;P dactylifera;-20,15944444;14,51388889;652;6520
Komsberg;Komsberg farm, medjool plantations Namibia;2014 AD;2014;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Angala 2015;P dactylifera;-28,51277778;19,69583333;431;4310
Kleinbegin;Kleinbegin campsite farm, medjool plantations Namibia;2014 AD;2014;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Angala 2015;P dactylifera;-27,97222222;19,02222222;859;8590
Naute farm;Naute farm, plantations of medjool date palm, Namibia launched in 2000;2014 AD;2014;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Observación;P dactylifera;-26,93166667;17,92444444;703;7030
Klein Pella, Namaqualand;The Klein Pella date palm plantation in Namaqualand, South Africa;2014 AD;2014;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Observación;P dactylifera;-28,90555556;18,99611111;303;3030
Kakamas;Kakamas date plantations South Africa;2014 AD;2014;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Observación;P dactylifera;-28,75750000;20,53972222;653;6530
Al Khoudh;Al Khoudh, Oman;2014 AD;2014;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Observación;P dactylifera;23,56666667;58,11666667;105;1050
Nakhl;Nakhl, Oman;2014 AD;2014;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Observación;P dactylifera;23,38333333;57,81666667;295;2950
Adjarawat;Adjarawat, Dhofar, Oman;2014 AD;2014;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Observación;P dactylifera;16,86666667;53,71250000;112;1120
Tawi Attayr;Tawi Attayr, Dhofar, Oman;2014 AD;2014;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Observación;P dactylifera;17,05555556;54,61500000;330;3300
Al Batinah;Batinah coastal Area, Oman, 150 miles along the coast;2014 AD;2014;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Observación;P dactylifera;23,93751389;57,14811389;6;60
Sarur;Sarur, Oman;2014 AD;2014;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Observación;P dactylifera;23,36967778;58,11454722;294;2940
Nizwa;Nizwa, Oman;2014 AD;2014;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Observación;P dactylifera;22,93560000;57,52440000;529;5290
Bisyah;Bisyah, Oman;2015 AD;2015;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Observación;P dactylifera;22,75239722;57,22342778;433;4330
Wadi Surdud;Wadi Surdud, Muhafazat Sadah, Sanaa, Yemen;2014 AD;2014;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Observación;P arabica;15,28204722;43,72295278;884;8840
Wadi Rijaf;Muhafazat Sadah, Sanaa, Yemen;2014 AD;2014;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Observación;P arabica;16,92115556;43,20093333;686;6860
Djbel Bura;Djbel Bura, Yemen;2014 AD;2014;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Observación;P arabica;14,94550556;43,56712778;1321;13210
Al Judaydah;Djbel Bura, Yemen;2014 AD;2014;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Observación;P dactylifera;14,90646944;43,46856389;1259;12590
Najran;Najran, Yemen;2014 AD;2014;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Observación;P dactylifera;17,49148611;44,13292500;1309;13090
Bishah;Bishah, Yemen;2014 AD;2014;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Observación;P dactylifera;20,01173889;42,60685278;1164;11640
Hadibou;Socotra, Yemen;2014 AD;2014;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Observación;P dactylifera;12,65259167;54,02381111;8;80
Dixam, Hadibou;Socotra, Yemen;2014 AD;2014;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Observación;P dactylifera;12,46888611;54,01031944;297;2970
Arirhen;Socotra, Yemen;2014 AD;2014;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Observación;P dactylifera;12,63342222;54,21421111;7;70
Sababah;Sababah, Saudi Arabia;2014 AD;2014;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Observación;P dactylifera;27,51831111;41,59038611;1045;10450
Sadus;Sadus, Saudi Arabia;2014 AD;2014;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Observación;P dactylifera;24,99605278;46,20922500;798;7980
Medina;Medina, Saudi Arabia;2014 AD;2014;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Observación;P dactylifera;24,44921111;39,63383333;612;6120
Hail;Hail, Saudi Arabia;2014 AD;2014;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Observación;P dactylifera;27,52208056;41,69439444;999;9990
Buraydah;Buraydah, Saudi Arabia;2014 AD;2014;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Observación;P dactylifera;26,33247222;43,97973056;633;6330
Yiddah;Yiddah, Saudi Arabia;2014 AD;2014;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Observación;P dactylifera;24,64851944;46,64290833;628;6280
Ghtai;Ghtai, Saudi Arabia;2014 AD;2014;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Observación;P dactylifera;31,24528889;37,53502222;514;5140
Khulais;Khulais, Saudi Arabia;2014 AD;2014;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Observación;P dactylifera;22,13351389;39,35420000;72;720
Ar Rubat;Palm groves, S Saudi Arabia;2013 AD;2013;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Observación;P dactylifera;17,01298889;54,13912778;7;70
Mada'in Salih;Mada'in Salih, Saudi Arabia;2003 AD;2003;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Observación;P dactylifera;26,80404722;37,95749722;774;7740
Al-Hofuf;Al-Hofuf, Hofuf, Saudi Arabia;2004 AD;2004;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Observación;P dactylifera;25,40517500;49,63238889;147;1470
As-Saqid;As-Saqid, Farasan Archipelago, Saudi Arabia, Large palm grove;2004 AD;2004;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Hall et al, 2010;P dactylifera;16,85715278;41,93157222;7;70
Al-Qisar/Al-Muharraq;Al-Qisar/Al-Muharraq, Farasan Archipelago, Saudi Arabia,  Large palm grove;2004 AD;2004;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Hall et al, 2010;P dactylifera;16,66784722;42,14848889;8;80
Qummah;Qummah, Farasan Archipelago, Saudi Arabia,  Small palm grove;2004 AD;2004;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Hall et al, 2010;P dactylifera;16,64717500;42,03092500;5;50
Khutib;Khutib beside a group of old Hyphaene thebaica, Farasan Archipelago, Saudi Arabia,  Small palm grove;2004 AD;2004;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Hall et al, 2010;P dactylifera;16,89398333;41,85526111;11;110
Palmyra;Palmyra, Tudmur, (Palmyrene, Syria) Syria;2013 AD;2013;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Observación;P dactylifera;34,54374722;38,26836389;407;4070
Al Bukamal;Al Bukamal, Euphrates, Syria;2013 AD;2013;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Observación;P dactylifera;34,45765833;40,92746111;172;1720
Lower Markie River;Lower Markie River, Tartus, Syria;2015 AD;2015;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Dimtrov and Vutov 2015;P dactylifera;35,00305556;36,00000000;300;3000
Abadan;Abadan, SW Iran;2003 AD;2003;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Observación;P dactylifera;30,36132500;48,22272222;2;20
Fasa al S;Fasa, Fars, Iran;2003 AD;2003;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Observación;P dactylifera;28,87080833;53,69530278;1290;12900
Darab;Darab, Fars, Iran;2003 AD;2003;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Observación;P dactylifera;28,75751944;54,55597222;1177;11770
Khafr;Khafr, Fars, Iran;2003 AD;2003;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Observación;P dactylifera;28,96807222;53,20132222;1287;12870
Hajjiabad;Hajjiabad, Fars, Iran;2003 AD;2003;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Observación;P dactylifera;28,35580278;54,41190556;1031;10310
Hassan Abad ;Hassan Abad, Fars, Iran;2003 AD;2003;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Observación;P dactylifera;28,78920000;54,31320000;1095;10950
Qasr-e Shirin;Qasr-e Shirin, Kermanshah, Iran;2003 AD;2003;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Observación;P dactylifera;34,51555556;45,57916667;1095;10950
Bam;Bam, Kerman, Iran;2003 AD;2003;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Observación;P dactylifera;29,11226111;58,34751944;1074;10740
Jahrom;Jahrom, Kerman, Iran;2003 AD;2003;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Observación;P dactylifera;28,51597778;53,54866111;1048;10480
Moshkahem NW2;Moshkahem, Sistan Va Baluchestan, Iran;2003 AD;2003;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Observación;P dactylifera;26,65375278;59,42286111;894;8940
Moshkahem NW;Moshkahem, Sistan Va Baluchestan, Iran;2003 AD;2003;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Observación;P dactylifera;26,65312778;59,47430833;844;8440
Moshkahem N;Moshkahem, Sistan Va Baluchestan, Iran;2003 AD;2003;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Observación;P dactylifera;26,60016667;59,59408333;741;7410
Moshkahem;Moshkahem, Sistan Va Baluchestan, Iran;2003 AD;2003;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Observación;P dactylifera;26,58594444;59,60117222;722;7220
Fanouj;Fanouj, Sistan Va Baluchestan, Iran;2003 AD;2003;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Observación;P dactylifera;26,58000833;59,64023056;724;7240
Sistan Va Baluchestan;Sistan Va Baluchestan, Iran;2003 AD;2003;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Observación;P dactylifera;27,38761389;60,80823333;737;7370
Chilgovar;Chilgovar, Sistan Va Baluchestan, Iran;2003 AD;2003;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Observación;P dactylifera;25,63670278;59,33848333;14;140
Bent;Bent, Sistan Va Baluchestan, Iran;2003 AD;2003;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Observación;P dactylifera;26,29800000;59,51769444;399;3990
Ab Pakhsh;Ab Pakhsh, Dashestan, Iran;2003 AD;2003;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Observación;P dactylifera;29,34522500;51,08120000;25;250
Basrah;Basrah, SE Iraq;2002 AD;2002;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Observación;P dactylifera;30,48320000;47,84867500;3;30
Mandali;Mandali, E Iraq;1950 AD;1950;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Nixon 1951;P dactylifera;33,74722222;45,54972222;119;1190
Hit;Hit, Iraq;2002 AD;2002;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Observación;P dactylifera;33,64611111;42,82777778;63;630
Al-Haritag;Al-Haritag, Iraq;2002 AD;2002;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Observación;P dactylifera;30,69360278;47,73895556;4;40
Babylon;Babylon, Iraq;2004 AD;2004;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Observación;P dactylifera;32,53638889;44,42083333;39;390
Baghdad;Baghdad, Iraq;2004 AD;2004;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Observación;P dactylifera;33,21798611;44,31853889;37;370
Aldahri;Aldahri, Iraq;2004 AD;2004;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Observación;P dactylifera;34,16366111;43,86181944;60;600
Al Mahzam;Al Mahzam, Iraq;2004 AD;2004;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Observación;P dactylifera;34,73346111;43,64274167;96;960
Hillah Canal;Hillah Canal, Iraq;2004 AD;2004;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Observación;P dactylifera;32,87666389;44,23224444;37;370
Rawa;Rawa, Euphrates, Iraq;2004 AD;2004;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Observación;P dactylifera;34,48087778;41,91769722;186;1860
Afak;Afak, Iraq;2005 AD;2005;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Observación;P dactylifera;32,06190000;45,24682222;24;240
Meerabad;Kech Pakistan;2014 AD;2014;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Observación;P dactylifera;26,07787778;62,61186111;90;900
Balichah;Kech Pakistan;2014 AD;2014;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Observación;P dactylifera;26,09909722;62,52796111;110;1100
Gumazgi;Kech Pakistan;2014 AD;2014;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Observación;P dactylifera;26,13119167;62,30401389;159;1590
Jalu;Jalu, S of Cyrenaica, Libya;2011 AD;2011;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Observación;P dactylifera;29,05470833;21,48588056;38;380
Tolmeitha;Tolmeitha (Ptolemais), Cyrenaica, Libya;2011 AD;2011;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Observación;P dactylifera;32,71235278;20,94731111;5;50
Awjillah;Awjillah, S of Cyrenaica, Libya;2011 AD;2011;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Observación;P dactylifera;29,15172222;21,29314167;39;390
Al Jaghbub;Al Jaghbub, E Libya;2011 AD;2011;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Observación;P dactylifera;29,74919722;24,52216667;1;10
Sabha;Sabha, Libya;2011 AD;2011;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Observación;P dactylifera;27,01687222;14,43301944;423;4230
Sawknah;Sawknah, Libya;2011 AD;2011;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Observación;P dactylifera;29,06961944;15,70567778;300;3000
Zillah;Zelha (Zillah), Libya;2011 AD;2011;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Observación;P dactylifera;28,55073611;17,54600833;210;2100
Al Jawf;Al Jawf, S Libya;2011 AD;2011;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Observación;P dactylifera;24,18620000;23,28261389;397;3970
Awbari;Awbari, S Libya;2011 AD;2011;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Observación;P dactylifera;26,59511111;12,78850278;467;4670
Awjilah;Awjilah, S Libya;2011 AD;2011;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Observación;P dactylifera;29,12207222;21,28603333;36;360
Germa;Germa, S Libya;2011 AD;2011;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Observación;P dactylifera;26,53489444;13,07056389;464;4640
Qasr Larocu;Qasr Larocu, S Libya;2011 AD;2011;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Observación;P dactylifera;26,56320833;13,24995000;463;4630
Qasr Bint Bayyah;Qasr Bint Bayyah, S Libya;2011 AD;2011;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Observación;P dactylifera;26,60336111;13,55854722;468;4680
Sabha;Sabha, C Libya;2011 AD;2011;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Observación;P dactylifera;27,01687222;14,43301944;423;4230
Zuwarah;Zuwarah, An Nuqat al Khams, beach, N Libya;2004 AD;2004;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Observación;P dactylifera;32,92480556;12,11193056;3;30
Shatt el-Beddin;Shatt el-Beddin, S of Benghazi, beach, N Libya;2004 AD;2004;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Observación;P dactylifera;31,22931667;20,15458611;1;10
