Mints and references;Present day locality;Palm-tree evidence period barycenter;Palm-tree evidence period;Palm groves;Coinages;Date remains;Inflorescence;Leaves;Stems and charcoal;Pollen;Phytoliths;Texts;Pottery;Wood paintings, papyri and scrolls;Jewelry, gold cups and seals;Rock and Wall painting and mosaic;Sculpture (stone, bronze and wood);References;Taxa;Latitude;Long Deg;Long Min;Long Seg;Longitude;Altitude;a10
Hirafok (Tamanraset province);Il existe une petite palmeraie à Silet, un petit groupe de palmiers à Idelès, quelques arbres isolés à Tit, Hirafok, Thart et que depuis l'arrivée des Français, le nombre de ces arbres a beaucoup augmenté à Abalessa;1936 AD;1936;0;0;0;0;0;0;0;0;1;0;0;0;0;0;Biebel 1936;P dactylifera;23,65444444;5;45;45;5,7625;1470;14700
Hirafok (Tamanraset province);Images in Google Earth;2010 AD;2010;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Observación;P dactylifera;23,65444444;5;45;45;5,7625;1470;14700
Idlès  (Tamanrasset province);Il existe une petite palmeraie à Silet, un petit groupe de palmiers à Idelès, quelques arbres isolés à Tit, Hirafok, Thart et que depuis l'arrivée des Français, le nombre de ces arbres a beaucoup augmenté à Abalessa;1936 AD;1936;0;0;0;0;0;0;0;0;1;0;0;0;0;0;Biebel 1936;P dactylifera;23,82;5;56;55;5,948611111;1395;13950
Idlès  (Tamanrasset province);Images in Google Earth;2010 AD;2010;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Observación;P dactylifera;23,82;5;56;55;5,948611111;1395;13950
Idlès  (Tamanrasset province);Idlès  (Tamanrasset province), Algeria;1986 AD;1986;0;0;0;0;0;0;0;0;1;0;0;0;0;0;Vaes et al. 1984;P dactylifera;23,82;5;56;55;5,948611111;1395;13950
Idlès  (Tamanrasset province);Idlès  (Tamanrasset province), Algeria;2012 AD;2012;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Observación;P dactylifera;23,82;5;56;55;5,948611111;1395;13950
Ighzer;Ighzer, Algeria;1986 AD;1986;0;0;0;0;0;0;0;0;1;0;0;0;0;0;Vaes et al. 1984;P dactylifera;29,37583333;0;19;34;0,326111111;253;2530
Ighzer;Ighzer, Algeria;2012 AD;2012;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Observación;P dactylifera;29,37583333;0;19;34;0,326111111;253;2530
Ihrir / Illizi;Ihrir / Illizi oasis with numerous date palms, Algeria;2012 AD;2012;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Observación;P dactylifera;25,41027778;8;24;52;8,414444444;1060;10600
Ihrir / Illizi;Ihrir / Illizi oasis with numerous date palms, Algeria;1936 AD;1936;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Observación;P dactylifera;25,41027778;8;24;52;8,414444444;1060;10600
Illizi;Images in Google Earth;2010 AD;2010;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Observación;P dactylifera;26,50416667;8;28;57;8,4825;566;5660
In Amenas;In Amenas, Illizi, S Algeria a few date palms;1986 AD;1986;0;0;0;0;0;0;0;0;1;0;0;0;0;0;Vaes et al. 1984;P dactylifera;28,04277778;9;33;37;9,560277778;556;5560
In Amenas;In Amenas, Illizi, S Algeria a few date palms;2012 AD;2012;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Observación;P dactylifera;28,04277778;9;33;37;9,560277778;556;5560
Kerkaz;Kerkaz, Algeria, a few date palms;1986 AD;1986;0;0;0;0;0;0;0;0;1;0;0;0;0;0;Vaes et al. 1984;P dactylifera;29,46;-1;-26;-19;-1,438611111;394;3940
Kerkaz;Kerkaz, Algeria, a few date palms;2012 AD;2012;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Observación;P dactylifera;29,46;-1;-26;-19;-1,438611111;394;3940
Ksabi;Ksabi, Béchar, Algeria, a few date palms;1986 AD;1986;0;0;0;0;0;0;0;0;1;0;0;0;0;0;Vaes et al. 1984;P dactylifera;29,10083333;0;-58;-31;-0,975277778;334;3340
Ksabi;Ksabi, Béchar, Algeria, a few date palms;2012 AD;2012;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Observación;P dactylifera;29,10083333;0;-58;-31;-0,975277778;334;3340
Lichana;Lichana, Algeria;2015 AD;2015;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Observación;P dactylifera;34,71932222;5;25;39,13;5,427536111;151;1510
Magrane;Magrane, Algeria;2015 AD;2015;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Observación;P dactylifera;33,56420278;6;56;16,45;6,937902778;46;460
Meggarine;Meggarine, Algeria;2012 AD;2012;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Observación;P dactylifera;33,19747222;6;5;39,58;6,094327778;62;620
Meguibra;Meguibra, Algeria;2015 AD;2015;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Observación;P dactylifera;34,26602778;6;0;49,13;6,013647222;-15;-150
Melika;Melika, Ghardaia, Algeria;1986 AD;1986;0;0;0;0;0;0;0;0;1;0;0;0;0;0;Vaes et al. 1984;P dactylifera;32,48138889;3;41;1;3,683611111;491;4910
Melika;Melika, Ghardaia, Algeria;2012 AD;2012;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Observación;P dactylifera;32,48138889;3;41;1;3,683611111;491;4910
Moggar;Moggar, Algeria;2012 AD;2012;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Observación;P dactylifera;33,267725;6;4;12,06;6,070016667;58;580
Nakhla;Nakhla, Algeria;2015 AD;2015;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Observación;P dactylifera;33,27580833;6;56;51,84;6,947733333;79;790
Ouargla;Ouargla, S Algeria;2012 AD;2012;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Observación;P dactylifera;31,96063611;5;21;10,95;5,353041667;138;1380
Ouargla;Ouargla, S Algeria;1986 AD;1986;0;0;0;0;0;0;0;0;1;0;0;0;0;0;Vaes et al. 1984;P dactylifera;31,96063611;5;21;10,95;5,353041667;138;1380
Ouargla;Ouargla, S Algeria;2012 AD;2012;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Observación;P dactylifera;31,96063611;5;21;10,95;5,353041667;138;1380
Oued Djerat / Nafeg oasis;Oued Djerat / Nafeg oasis with numerous date palms, Tassili n'Ajjer Algeria;2012 AD;2012;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Observación;P dactylifera;26,15777778;8;36;48;8,613333333;815;8150
Oued Djerat / Nafeg oasis;Oued Djerat / Nafeg oasis with numerous date palms, Tassili n'Ajjer Algeria;1936 AD;1936;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Perret 1936;P dactylifera;26,15777778;8;36;48;8,613333333;815;8150
Oued Rhir;Oued Rhir  or Ghir, Sahara, Algeria;1950 AD;1950;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Nixon 1951;P dactylifera;26,82833333;2;44;35;2,743055556;265;2650
Oued Souf;El Oued, Algeria;1950 AD;1950;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Nixon 1951;P dactylifera;33,35783333;6;48;24,84;6,8069;89;890
Ouled Said;Ouled Said, Algeria;1986 AD;1986;0;0;0;0;0;0;0;0;1;0;0;0;0;0;Vaes et al. 1984;P dactylifera;29,42;0;14;39;0,244166667;259;2590
Ouled Said;Ouled Said, Algeria;2012 AD;2012;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Observación;P dactylifera;29,42;0;14;39;0,244166667;259;2590
Oum et Tiour;Oum et Tiour, Algeria;2015 AD;2015;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Observación;P dactylifera;34,15476667;5;50;27,6;5,841;9;90
Ourir;Ourir, Algeria;2015 AD;2015;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Observación;P dactylifera;34,02088611;5;57;3,01;5,950836111;-16;-160
Reggane;Reggane, Adrar, Algeria, date palms;1986 AD;1986;0;0;0;0;0;0;0;0;1;0;0;0;0;0;Vaes et al. 1984;P dactylifera;26,71361111;0;10;7;0,168611111;202;2020
Reggane;Reggane, Adrar, Algeria, date palms;2012 AD;2012;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Observación;P dactylifera;26,71361111;0;10;7;0,168611111;202;2020
Sbaa;Sbaa, Béchar, Algeria, a few date palms;1986 AD;1986;0;0;0;0;0;0;0;0;1;0;0;0;0;0;Vaes et al. 1984;P dactylifera;28,21055556;0;-10;-35;-0,176388889;263;2630
Sbaa;Sbaa, Béchar, Algeria, a few date palms;2012 AD;2012;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Observación;P dactylifera;28,21055556;0;-10;-35;-0,176388889;263;2630
Sidi Amrane;Sidi Amrane, Algeria;2012 AD;2012;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Observación;P dactylifera;33,50275278;6;0;43,62;6,012116667;46;460
Sidi Slimane;Sidi Slimane, Algeria;2012 AD;2012;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Observación;P dactylifera;33,29129167;6;5;48,14;6,096705556;62;620
Silet (Abalessa province);Il existe une petite palmeraie à Silet, un petit groupe de palmiers à Idelès, quelques arbres isolés à Tit, Hirafok, Thart et que depuis l'arrivée des Français, le nombre de ces arbres a beaucoup augmenté à Abalessa;1936 AD;1936;0;0;0;0;0;0;0;0;1;0;0;0;0;0;Biebel 1936;P dactylifera;22,66305556;4;34;42;4,578333333;751;7510
Tahouda (Biskra);Tahouda (=Medinat es Shir) (Biskra), Algeria;2015 AD;2015;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Observación;P dactylifera;34,80545278;5;53;32,01;5,892225;85;850
Tamelhat;Tamelhat, Ouargla, Algeria;1986 AD;1986;0;0;0;0;0;0;0;0;1;0;0;0;0;0;Vaes et al. 1984;P dactylifera;33,00666667;6;0;27;6,0075;84;840
Tamelhat;Tamelhat, Ouargla, Algeria;2012 AD;2012;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Observación;P dactylifera;33,00666667;6;0;27;6,0075;84;840
Tamentit;Tamentit, Algeria, date palms;1986 AD;1986;0;0;0;0;0;0;0;0;1;0;0;0;0;0;Vaes et al. 1984;P dactylifera;27,76305556;0;-15;-49;-0,263611111;242;2420
Tamentit;Tamentit, Algeria, date palms;2012 AD;2012;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Observación;P dactylifera;27,76305556;0;-15;-49;-0,263611111;242;2420
Tebesbest;Tebesbest, Algeria;2012 AD;2012;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Observación;P dactylifera;33,1147;6;5;33,97;6,092769444;65;650
Tebessa;Tebessa, Algeria, en las calles;2012 AD;2012;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Observación;P dactylifera;35,40704167;8;7;13,19;8,120330556;830;8300
Temacine;Temacine, Ouargla, Algeria;1986 AD;1986;0;0;0;0;0;0;0;0;1;0;0;0;0;0;Vaes et al. 1984;P dactylifera;33,01388889;6;1;19;6,021944444;77;770
Temacine;Temacine, Ouargla, Algeria;2012 AD;2012;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Observación;P dactylifera;33,01388889;6;1;19;6,021944444;77;770
Tichy, Bejaia, Algeria, Africa;Tichy, Bejaia, Algeria, Africa;2015 AD;2015;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Observación;P dactylifera;36,66340278;5;10;34,03;5,176119444;3;30
Timimoun;Timimoun, Adrar, Algeria;1986 AD;1986;0;0;0;0;0;0;0;0;1;0;0;0;0;0;Vaes et al. 1984;P dactylifera;29,26583333;0;13;19;0,221944444;241;2410
Timimoun;Timimoun, Adrar, Algeria;2012 AD;2012;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Observación;P dactylifera;29,26583333;0;13;19;0,221944444;241;2410
Timimoun;Timimoun oasis at Adrar province of Algeria;2010 AD;2010;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Hugot 1968;P dactylifera;29,26583333;0;13;19;0,221944444;241;2410
Timokten;Timokten, Adrar, Algeria, date palms;1986 AD;1986;0;0;0;0;0;0;0;0;1;0;0;0;0;0;Vaes et al. 1984;P dactylifera;27,02416667;1;2;33;1,0425;284;2840
Timokten;Timokten, Adrar, Algeria, date palms;2012 AD;2012;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Observación;P dactylifera;27,02416667;1;2;33;1,0425;284;2840
Timoudi;Timoudi, Béchar, Algeria, a few date palms;1986 AD;1986;0;0;0;0;0;0;0;0;1;0;0;0;0;0;Vaes et al. 1984;P dactylifera;29,31861111;-1;-7;-34;-1,126111111;357;3570
Timoudi;Timoudi, Béchar, Algeria, a few date palms;2012 AD;2012;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Observación;P dactylifera;29,31861111;-1;-7;-34;-1,126111111;357;3570
Tinedla;Tinedla, Algeria;2015 AD;2015;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Observación;P dactylifera;33,68638611;6;2;13,7;6,037138889;17;170
Tit (Tamanraset province);Il existe une petite palmeraie à Silet, un petit groupe de palmiers à Idelès, quelques arbres isolés à Tit, Hirafok, Thart et que depuis l'arrivée des Français, le nombre de ces arbres a beaucoup augmenté à Abalessa;1936 AD;1936;0;0;0;0;0;0;0;0;1;0;0;0;0;0;Biebel 1936;P dactylifera;22,995;5;13;31;5,225277778;1153;11530
Tit (Tamanraset province);Tit (Tamanraset province), Algeria, date palms;1986 AD;1986;0;0;0;0;0;0;0;0;1;0;0;0;0;0;Vaes et al. 1984;P dactylifera;22,995;5;13;31;5,225277778;1153;11530
Tit (Tamanraset province);Tit (Tamanraset province), Algeria, date palms;2012 AD;2012;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Observación;P dactylifera;22,995;5;13;31;5,225277778;1153;11530
Tolga;Tolga, Biskra, Algeria;2015 AD;2015;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Observación;P dactylifera;34,72299444;5;22;37,74;5,37715;162;1620
Touggourt;Touggourt, Algeria;2012 AD;2012;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Observación;P dactylifera;33,09808056;6;4;44,27;6,078963889;68;680
Touggourt;Touggourt, Algeria;1950 AD;1950;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Nixon 1951;P dactylifera;33,09808056;6;4;44,27;6,078963889;68;680
Touggourt;Touggourt, Algeria;1986 AD;1986;0;0;0;0;0;0;0;0;1;0;0;0;0;0;Vaes et al. 1984;P dactylifera;33,09808056;6;4;44,27;6,078963889;68;680
Touggourt;Touggourt, Algeria;2012 AD;2012;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Observación;P dactylifera;33,09808056;6;4;44,27;6,078963889;68;680
Zab (Mzab Ibadia);Zab (Mzab Ibadia, Ghardaia);2015 AD;2015;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Observación;P dactylifera;32,485025;3;40;54,72;3,681866667;496;4960
Zaouiet Kounta;Zaouiet Kounta, Adrar, Algeria, date palms;1986 AD;1986;0;0;0;0;0;0;0;0;1;0;0;0;0;0;Vaes et al. 1984;P dactylifera;27,22333333;0;-11;-46;-0,196111111;207;2070
Zaouiet Kounta;Zaouiet Kounta, Adrar, Algeria, date palms;2012 AD;2012;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Observación;P dactylifera;27,22333333;0;-11;-46;-0,196111111;207;2070
Al Dzarid;Al Dzarid, Tozeur;2015 AD;2015;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Observación;P dactylifera;33,99817778;8;9;38,34;8,16065;46;460
Al Dzarid N;Al Dzarid (N), Tozeur;2015 AD;2015;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Observación;P dactylifera;34,02494722;8;10;51;8,180833333;28;280
Chott el Djerid;Chott el Djerid, Tunisia;2015 AD;2015;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Observación;P dactylifera;33,91417222;8;8;56,39;8,148997222;37;370
Dguache;Dguache, Tunisia;2015 AD;2015;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Observación;P dactylifera;33,98264722;8;13;31,36;8,225377778;55;550
Djerba Island;Djerba Island, Tunisia;2015 AD;2015;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Observación;P dactylifera;33,82551944;10;54;17,99;10,90499722;29;290
Dough Kebili;Doug Kebili, Kebili, Tunisia;2015 AD;2015;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Observación;P dactylifera;33,6996;8;59;7,93;8,985536111;56;560
Douz;Douz, SE of Chott Djerid, Kebili;1986 AD;1986;0;0;0;0;0;0;0;0;1;0;0;0;0;0;Vaes et al. 1984;P dactylifera;33,45916667;9;2;23;9,039722222;67;670
Douz;Douz, SE of Chott Djerid, Kebili;2012 AD;2012;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Observación;P dactylifera;33,45916667;9;2;23;9,039722222;67;670
El Faouar;El Faouar, Kebili;1986 AD;1986;0;0;0;0;0;0;0;0;1;0;0;0;0;0;Vaes et al. 1984;P dactylifera;33,35361111;8;39;51;8,664166667;49;490
El Faouar;El Faouar, Kebili;2012 AD;2012;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Observación;P dactylifera;33,35361111;8;39;51;8,664166667;49;490
Foum Tatahouine;Foum Tatahouine, Tatahouine, isolated palms;1986 AD;1986;0;0;0;0;0;0;0;0;1;0;0;0;0;0;Vaes et al. 1984;P dactylifera;32,91583333;10;25;18;10,42166667;264;2640
Foum Tatahouine;Foum Tatahouine, Tatahouine, isolated palms;2012 AD;2012;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Observación;P dactylifera;32,91583333;10;25;18;10,42166667;264;2640
Gabès;Gabès;2015 AD;2015;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Observación;P dactylifera;33,88778056;10;5;20,62;10,08906111;10;100
Gabès;Gabès;1986 AD;1986;0;0;0;0;0;0;0;0;1;0;0;0;0;0;Vaes et al. 1984;P dactylifera;33,88778056;10;5;20,62;10,08906111;10;100
Gabès;Gabès;2012 AD;2012;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Observación;P dactylifera;33,88778056;10;5;20,62;10,08906111;10;100
Gafsa;Gafsa, Tunisia;2005 AD;2005;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Observación;P dactylifera;34,41616389;8;46;59;8,783055556;290;2900
Gafsa;Gafsa, Djerid;1986 AD;1986;0;0;0;0;0;0;0;0;1;0;0;0;0;0;Vaes et al. 1984;P dactylifera;34,41616389;8;46;59;8,783055556;290;2900
Gafsa;Gafsa, Djerid;2012 AD;2012;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Observación;P dactylifera;34,41616389;8;46;59;8,783055556;290;2900
Hammameth;Hammameth, only in gardens, Tunisia;2015 AD;2015;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Observación;P dactylifera;36,40433333;10;35;53,25;10,598125;9;90
Hammat al jarid;Hammat al jarid, Tunisia;2015 AD;2015;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Observación;P dactylifera;34,007675;8;9;38,78;8,160772222;40;400
Hammat al jarid;Hammat al jarid, Djerid;1986 AD;1986;0;0;0;0;0;0;0;0;1;0;0;0;0;0;Vaes et al. 1984;P dactylifera;34,007675;8;9;38,78;8,160772222;40;400
Hammat al jarid;Hammat al jarid, Djerid;2012 AD;2012;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Observación;P dactylifera;34,007675;8;9;38,78;8,160772222;40;400
Kebili / Qibli;Kebili / Qibli;1986 AD;1986;0;0;0;0;0;0;0;0;1;0;0;0;0;0;Vaes et al. 1984;P dactylifera;33,69916667;8;58;30;8,975;46;460
Kebili / Qibli;Kebili / Qibli;2012 AD;2012;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Observación;P dactylifera;33,69916667;8;58;30;8,975;46;460
Ksar Ghilane;Ksar Ghilane, Kebili;1986 AD;1986;0;0;0;0;0;0;0;0;1;0;0;0;0;0;Vaes et al. 1984;P dactylifera;32,98;9;38;24;9,64;212;2120
Ksar Ghilane;Ksar Ghilane, Kebili;2012 AD;2012;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Observación;P dactylifera;32,98;9;38;24;9,64;212;2120
Mansourah / Oum Somaa;Mansourah / Oum Somaa, Kebili;1986 AD;1986;0;0;0;0;0;0;0;0;1;0;0;0;0;0;Vaes et al. 1984;P dactylifera;33,77888889;8;50;24;8,84;43;430
Mansourah / Oum Somaa;Mansourah / Oum Somaa, Kebili;2012 AD;2012;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Observación;P dactylifera;33,77888889;8;50;24;8,84;43;430
Matmata;Matmata, Gabes isolated palms;1986 AD;1986;0;0;0;0;0;0;0;0;1;0;0;0;0;0;Vaes et al. 1984;P dactylifera;33,54444444;9;57;44;9,962222222;365;3650
Matmata;Matmata, Gabes isolated palms;2012 AD;2012;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Observación;P dactylifera;33,54444444;9;57;44;9,962222222;365;3650
Metameur / Al Matamir;Metameur / Al Matamir, Gabes isolated palms;1986 AD;1986;0;0;0;0;0;0;0;0;1;0;0;0;0;0;Vaes et al. 1984;P dactylifera;33,36944444;10;26;3;10,43416667;96;960
Metameur / Al Matamir;Metameur / Al Matamir, Gabes isolated palms;2012 AD;2012;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Observación;P dactylifera;33,36944444;10;26;3;10,43416667;96;960
Metlaoui / Al-Mitlawi;Metlaoui / Al-Mitlawi, Djerid;1986 AD;1986;0;0;0;0;0;0;0;0;1;0;0;0;0;0;Vaes et al. 1984;P dactylifera;34,32833333;8;23;51;8,3975;232;2320
Metlaoui / Al-Mitlawi;Metlaoui / Al-Mitlawi, Djerid;2012 AD;2012;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Observación;P dactylifera;34,32833333;8;23;51;8,3975;232;2320
Midès;Midès, Djerid;1986 AD;1986;0;0;0;0;0;0;0;0;1;0;0;0;0;0;Vaes et al. 1984;P dactylifera;34,40861111;7;55;12;7,92;367;3670
Midès;Midès, Djerid;2012 AD;2012;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Observación;P dactylifera;34,40861111;7;55;12;7,92;367;3670
Nafta (Tozeur);Nafta (Tozeur);2005 AD;2005;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Observación;P dactylifera;33,87584722;7;52;48;7,88;58;580
Naftah;Naftah, Tunisia;2015 AD;2015;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Observación;P dactylifera;33,86537222;7;52;43,18;7,878661111;47;470
Nefta / Naftah;Nefta, Djerid;1986 AD;1986;0;0;0;0;0;0;0;0;1;0;0;0;0;0;Vaes et al. 1984;P dactylifera;33,87583333;7;52;45;7,879166667;57;570
Nefta / Naftah;Nefta, Djerid;2012 AD;2012;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Observación;P dactylifera;33,87583333;7;52;45;7,879166667;57;570
Oued Seldja;Oued Seldja, Djerid, scattered palms;1986 AD;1986;0;0;0;0;0;0;0;0;1;0;0;0;0;0;Vaes et al. 1984;P dactylifera;34,35222222;8;20;29;8,341388889;251;2510
Oued Seldja;Oued Seldja, Djerid, scattered palms;2012 AD;2012;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Observación;P dactylifera;34,35222222;8;20;29;8,341388889;251;2510
Plage de la Séguia;Plage de la Séguia, Djerba island;1986 AD;1986;0;0;0;0;0;0;0;0;1;0;0;0;0;0;Vaes et al. 1984;P dactylifera;33,78722222;11;3;27;11,0575;0;0
Plage de la Séguia;Plage de la Séguia, Djerba island;2012 AD;2012;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Observación;P dactylifera;33,78722222;11;3;27;11,0575;0;0
Sabria / Es Sabria;Sabria / Es Sabria, Kebili;1986 AD;1986;0;0;0;0;0;0;0;0;1;0;0;0;0;0;Vaes et al. 1984;P dactylifera;33,35444444;8;44;36;8,743333333;54;540
Sabria / Es Sabria;Sabria / Es Sabria, Kebili;2012 AD;2012;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Observación;P dactylifera;33,35444444;8;44;36;8,743333333;54;540
Tamaqzah / Tamerza;Tamaqzah, Djerid;1986 AD;1986;0;0;0;0;0;0;0;0;1;0;0;0;0;0;Vaes et al. 1984;P dactylifera;34,38388889;7;56;25;7,940277778;292;2920
Tamaqzah / Tamerza;Tamaqzah, Djerid;2012 AD;2012;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Observación;P dactylifera;34,38388889;7;56;25;7,940277778;292;2920
Telmine;Telmine, Kebili;1986 AD;1986;0;0;0;0;0;0;0;0;1;0;0;0;0;0;Vaes et al. 1984;P dactylifera;33,72027778;8;55;18;8,921666667;28;280
Telmine;Telmine, Kebili;2012 AD;2012;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Observación;P dactylifera;33,72027778;8;55;18;8,921666667;28;280
Tozeur;Tozeur, Tunisia;2015 AD;2015;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Observación;P dactylifera;33,91473333;8;8;18,03;8,138341667;46;460
Tozeur;Tozeur, Djerid;1986 AD;1986;0;0;0;0;0;0;0;0;1;0;0;0;0;0;Vaes et al. 1984;P dactylifera;33,91473333;8;8;18,03;8,138341667;46;460
Tozeur;Tozeur, Djerid;2012 AD;2012;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Observación;P dactylifera;33,91473333;8;8;18,03;8,138341667;46;460
Zaafrane;Zaafrene, Kebili;1986 AD;1986;0;0;0;0;0;0;0;0;1;0;0;0;0;0;Vaes et al. 1984;P dactylifera;33,44472222;8;55;18;8,921666667;44;440
Zaafrane;Zaafrene, Kebili;2012 AD;2012;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Observación;P dactylifera;33,44472222;8;55;18;8,921666667;44;440
Zaghouan;Zaghouan, Tunisia;2015 AD;2015;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Observación;P dactylifera;36,39871111;10;8;34,29;10,14285833;209;2090
El Forferoun (Farafra);El Forferoun (Farafra), Egypt;2005 AD;2005;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Observación;P dactylifera;27,05911667;27;57;43,38;27,96205;88;880
Wadi El Natrun;Wadi Natrun with date palms;2015 AD;2015;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Panoramio;P dactylifera;30,45222222;30;10;41;30,17805556;-24;-240
Siwa Oasis;Siwa Oasis, Egypt;2005 AD;2005;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Observación;P dactylifera;29,20361389;25;31;20,05;25,52223611;-13;-130
Tanta, Dema;Tanta, Dema, Egypt;2005 AD;2005;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Rabei et al, 2012;P dactylifera;30,61583333;30;59;10;30,98611111;11;110
Mandishah oasis;Mandishah oasis, extensive date palm plantations, Egypt;2005 AD;2005;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Rabei et al, 2012;P dactylifera;28,35;28;54;39;28,91083333;125;1250
Dakhla Oasis;Dakhla (Balat) Oasis, Western desert, Egypt;2005 AD;2005;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Observación;P dactylifera;25,55828889;29;16;1,39;29,26705278;127;1270
Kharga Oasis;Kharga Oasis, Western desert, Egypt;2005 AD;2005;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Observación;P dactylifera;25,43680833;30;33;15,01;30,55416944;69;690
Farafra Oasis;Farafra Oasis, Western desert, Egypt;2005 AD;2005;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Observación;P dactylifera;27,05914722;27;57;45,54;27,96265;88;880
Bahariya Oasis;Bahariya Oasis, Western desert, Egypt;2005 AD;2005;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Observación;P dactylifera;28,38668333;28;23;12,06;28,38668333;103;1030
